"t","c","o","h","l","v","date","s"
"1325376000","65.494208609706","65.934597783203","65.494208609706","65.494208609706","50","2012-01-01 00:00:00","ok"
"1325980800","66.3749869567","65.494208609706","66.864308260585","65.934597783203","107","2012-01-08 00:00:00",""
"1326067200","66.864308260585","66.3749869567","66.864308260585","66.864308260585","12","2012-01-09 00:00:00",""
"1326153600","67.598290216413","66.864308260585","67.598290216413","67.108968912528","40","2012-01-10 00:00:00",""
"1327276800","68.576932824184","67.598290216413","69.06625412807","68.03867938991","127","2012-01-23 00:00:00",""
"1327536000","69.115186258459","68.576932824184","69.115186258459","69.115186258459","15","2012-01-26 00:00:00",""
"1327795200","69.115186258459","69.115186258459","69.115186258459","69.115186258459","62","2012-01-29 00:00:00",""
"1327968000","69.653439692733","69.115186258459","69.653439692733","69.115186258459","25","2012-01-31 00:00:00",""
"1328054400","69.653439692733","69.653439692733","69.653439692733","69.653439692733","50","2012-02-01 00:00:00",""
"1329004800","69.115186258459","69.653439692733","69.115186258459","69.115186258459","52","2012-02-12 00:00:00",""
"1329264000","70.729946561281","69.115186258459","70.729946561281","69.653439692733","104","2012-02-15 00:00:00",""
"1329782400","71.41499638672","70.729946561281","71.41499638672","71.268199995555","43","2012-02-21 00:00:00",""
"1329955200","71.904317690606","71.41499638672","71.904317690606","71.904317690606","20","2012-02-23 00:00:00",""
"1330214400","73.078688819931","71.904317690606","73.078688819931","72.491503255268","46","2012-02-26 00:00:00",""
"1330387200","74.301992079645","73.078688819931","74.301992079645","73.665874384594","70","2012-02-28 00:00:00",""
"1330819200","74.350924210033","74.301992079645","74.350924210033","74.350924210033","10","2012-03-04 00:00:00",""
"1330992000","74.595584861976","74.350924210033","74.595584861976","74.595584861976","62","2012-03-06 00:00:00",""
"1331424000","74.595584861976","74.595584861976","74.595584861976","74.595584861976","126","2012-03-11 00:00:00",""
"1331769600","74.938109774696","74.595584861976","74.938109774696","74.938109774696","15","2012-03-15 00:00:00",""
"1332201600","74.693449122753","74.938109774696","74.938109774696","74.350924210033","2063","2012-03-20 00:00:00",""
"1332288000","74.595584861976","74.693449122753","74.595584861976","74.350924210033","110","2012-03-21 00:00:00",""
"1332633600","74.350924210033","74.595584861976","74.840245513919","74.350924210033","71","2012-03-25 00:00:00",""
"1332979200","72.882960298377","74.350924210033","73.714806514982","72.491503255268","449","2012-03-29 00:00:00",""
"1333238400","72.295774733714","72.882960298377","72.295774733714","72.295774733714","40","2012-04-01 00:00:00",""
"1333324800","71.708589169052","72.295774733714","71.708589169052","71.708589169052","52","2012-04-02 00:00:00",""
"1333584000","71.121403604389","71.708589169052","71.121403604389","71.121403604389","156","2012-04-05 00:00:00",""
"1333929600","70.583150170115","71.121403604389","70.583150170115","70.583150170115","40","2012-04-09 00:00:00",""
"1334188800","70.925675082835","70.583150170115","70.925675082835","70.925675082835","45","2012-04-12 00:00:00",""
"1335916800","70.436353778949","70.925675082835","70.485285909338","70.436353778949","198","2012-05-02 00:00:00",""
"1336435200","70.534218039726","70.436353778949","70.534218039726","70.485285909338","144","2012-05-08 00:00:00",""
"1336521600","71.072471474001","70.534218039726","71.072471474001","71.072471474001","40","2012-05-09 00:00:00",""
"1336608000","71.659657038663","71.072471474001","71.659657038663","71.659657038663","38","2012-05-10 00:00:00",""
"1337558400","72.246842603326","71.659657038663","72.246842603326","71.659657038663","360","2012-05-21 00:00:00",""
"1337644800","72.246842603326","72.246842603326","72.246842603326","72.246842603326","160","2012-05-22 00:00:00",""
"1337817600","72.834028167988","72.246842603326","72.834028167988","72.834028167988","40","2012-05-24 00:00:00",""
"1338336000","72.393638994491","72.834028167988","72.393638994491","72.393638994491","40","2012-05-30 00:00:00",""
"1338768000","72.051114081772","72.393638994491","72.148978342549","71.904317690606","220","2012-06-04 00:00:00",""
"1338854400","72.393638994491","72.051114081772","72.638299646434","71.904317690606","412","2012-06-05 00:00:00",""
"1338940800","71.806453429829","72.393638994491","71.806453429829","71.806453429829","72","2012-06-06 00:00:00",""
"1339372800","71.904317690606","71.806453429829","71.904317690606","71.904317690606","48","2012-06-11 00:00:00",""
"1339459200","72.393638994491","71.904317690606","72.393638994491","71.904317690606","29","2012-06-12 00:00:00",""
"1339545600","72.882960298377","72.393638994491","72.882960298377","72.393638994491","133","2012-06-13 00:00:00",""
"1339891200","74.742381253142","72.882960298377","74.742381253142","73.47014586304","71","2012-06-17 00:00:00",""
"1339977600","75.378498948193","74.742381253142","75.378498948193","75.378498948193","16","2012-06-18 00:00:00",""
"1340064000","75.378498948193","75.378498948193","75.378498948193","75.378498948193","30","2012-06-19 00:00:00",""
"1340150400","78.559087423449","75.378498948193","78.559087423449","76.014616643244","538","2012-06-20 00:00:00",""
"1341360000","78.559087423449","91.506529124259","78.559087423449","78.559087423449","100","2012-07-04 00:00:00",""
"1341446400","79.616021439841","78.559087423449","79.616021439841","78.228795543326","251","2012-07-05 00:00:00",""
"1341705600","80.342663576111","79.616021439841","80.342663576111","80.342663576111","10","2012-07-08 00:00:00",""
"1341792000","78.228795543326","80.342663576111","79.616021439841","78.228795543326","122","2012-07-09 00:00:00",""
"1341964800","78.955437679596","78.228795543326","78.955437679596","78.955437679596","25","2012-07-11 00:00:00",""
"1342051200","78.955437679596","78.955437679596","79.682079815866","78.955437679596","28","2012-07-12 00:00:00",""
"1342569600","79.219671183694","78.955437679596","79.219671183694","79.219671183694","34","2012-07-18 00:00:00",""
"1343174400","79.946313319964","79.219671183694","79.946313319964","79.946313319964","10","2012-07-25 00:00:00",""
"1343606400","80.672955456234","79.946313319964","80.672955456234","80.672955456234","31","2012-07-30 00:00:00",""
"1345680000","81.399597592504","80.672955456234","81.399597592504","81.399597592504","34","2012-08-23 00:00:00",""
"1346025600","82.192298104799","81.399597592504","82.192298104799","82.192298104799","10","2012-08-27 00:00:00",""
"1347148800","82.984998617093","82.192298104799","82.984998617093","82.984998617093","40","2012-09-09 00:00:00",""
"1347235200","86.28791741832","82.984998617093","86.28791741832","83.777699129388","160","2012-09-10 00:00:00",""
"1347321600","88.005435194958","86.28791741832","88.005435194958","87.146676306639","160","2012-09-11 00:00:00",""
"1347408000","90.779886987989","88.005435194958","90.779886987989","88.930252459302","35","2012-09-12 00:00:00",""
"1347494400","91.704704252333","90.779886987989","91.704704252333","91.704704252333","40","2012-09-13 00:00:00",""
"1348012800","92.695579892701","91.704704252333","92.695579892701","91.704704252333","186","2012-09-19 00:00:00",""
"1348099200","93.686455533069","92.695579892701","93.686455533069","93.686455533069","40","2012-09-20 00:00:00",""
"1348358400","97.782074846591","93.686455533069","97.782074846591","94.677331173437","225","2012-09-23 00:00:00",""
"1348444800","99.697767751302","97.782074846591","100.82076014372","98.046308350689","184","2012-09-24 00:00:00",""
"1348531200","101.01893527179","99.697767751302","101.87769416011","100.82076014372","340","2012-09-25 00:00:00",""
"1348617600","100.02805963143","101.01893527179","100.02805963143","99.829884503352","255","2012-09-26 00:00:00",""
"1348963200","99.037183991057","100.02805963143","100.02805963143","99.037183991057","80","2012-09-30 00:00:00",""
"1349136000","97.91419159864","99.037183991057","97.91419159864","97.91419159864","40","2012-10-02 00:00:00",""
"1349222400","95.73426518983","97.91419159864","96.791199206223","95.73426518983","184","2012-10-03 00:00:00",""
"1349308800","94.677331173437","95.73426518983","94.677331173437","94.677331173437","225","2012-10-04 00:00:00",""
"1349568000","96.857257582247","94.677331173437","96.857257582247","95.73426518983","121","2012-10-07 00:00:00",""
"1349654400","99.037183991057","96.857257582247","99.037183991057","97.055432710321","180","2012-10-08 00:00:00",""
"1349740800","98.574775358885","99.037183991057","99.697767751302","98.574775358885","49","2012-10-09 00:00:00",""
