"t","c","o","h","l","v","date","s"
"1325376000","116.03696121033","117.62656259761","117.48205338059","115.45892434223","6914","2012-01-01 00:00:00","ok"
"1325462400","120.22772850407","116.03696121033","120.22772850407","115.3144151252","9126","2012-01-02 00:00:00",""
"1325548800","118.20459946571","120.22772850407","120.22772850407","118.20459946571","4018","2012-01-03 00:00:00",""
"1325635200","115.45892434223","118.20459946571","118.20459946571","115.3144151252","18324","2012-01-04 00:00:00",""
"1325721600","118.49361789977","115.45892434223","118.49361789977","115.3144151252","5733","2012-01-05 00:00:00",""
"1325980800","118.20459946571","118.49361789977","118.20459946571","114.59186904008","9151","2012-01-08 00:00:00",""
"1326067200","113.86932295495","118.20459946571","116.18147042736","113.86932295495","12252","2012-01-09 00:00:00",""
"1326153600","116.75950729546","113.86932295495","119.50518241894","112.56874000172","389","2012-01-10 00:00:00",""
"1326240000","120.22772850407","116.75950729546","123.98496814673","113.86932295495","1369","2012-01-11 00:00:00",""
"1326326400","122.25085754243","120.22772850407","122.25085754243","119.79420085299","110","2012-01-12 00:00:00",""
"1326672000","117.19303494654","122.25085754243","120.22772850407","116.18147042736","429","2012-01-16 00:00:00",""
"1326758400","117.77107181464","117.19303494654","119.79420085299","116.03696121033","283","2012-01-17 00:00:00",""
"1326844800","117.19303494654","117.77107181464","118.63812711679","116.75950729546","821","2012-01-18 00:00:00",""
"1326844800","116.32597964438","117.19303494654","118.20459946571","116.32597964438","780","2012-01-18 00:00:00",""
"1327190400","116.03696121033","116.32597964438","117.04852572951","116.03696121033","183","2012-01-22 00:00:00",""
"1327276800","113.86932295495","116.03696121033","116.03696121033","113.86932295495","3838","2012-01-23 00:00:00",""
"1327449600","115.60343355926","113.86932295495","115.74794277628","113.86932295495","1151","2012-01-25 00:00:00",""
"1327536000","116.75950729546","115.60343355926","116.90401651248","113.86932295495","330","2012-01-26 00:00:00",""
"1327795200","115.3144151252","116.75950729546","115.3144151252","113.86932295495","3345","2012-01-29 00:00:00",""
"1327968000","114.59186904008","115.3144151252","115.3144151252","113.86932295495","453","2012-01-31 00:00:00",""
"1328054400","116.32597964438","114.59186904008","116.32597964438","113.86932295495","1427","2012-02-01 00:00:00",""
"1328140800","115.3144151252","116.32597964438","115.60343355926","113.86932295495","2007","2012-02-02 00:00:00",""
"1328400000","114.158341389","115.3144151252","115.89245199331","114.01383217197","67","2012-02-05 00:00:00",""
"1328486400","114.158341389","114.158341389","114.30285060603","113.86932295495","1677","2012-02-06 00:00:00",""
"1328572800","115.74794277628","114.158341389","115.74794277628","113.14677686982","1337","2012-02-07 00:00:00",""
"1328659200","117.62656259761","115.74794277628","117.62656259761","117.62656259761","210","2012-02-08 00:00:00",""
"1328745600","117.62656259761","117.62656259761","119.50518241894","113.14677686982","1552","2012-02-09 00:00:00",""
"1329004800","115.74794277628","117.62656259761","115.74794277628","113.86932295495","968","2012-02-12 00:00:00",""
"1329091200","114.01383217197","115.74794277628","115.89245199331","113.86932295495","800","2012-02-13 00:00:00",""
"1329177600","113.43579530387","114.01383217197","114.158341389","113.43579530387","6670","2012-02-14 00:00:00",""
"1329264000","115.16990590818","113.43579530387","115.16990590818","113.5803045209","1229","2012-02-15 00:00:00",""
"1329350400","113.86932295495","115.16990590818","116.47048886141","113.14677686982","2457","2012-02-16 00:00:00",""
"1329782400","115.3144151252","113.86932295495","115.3144151252","113.14677686982","1290","2012-02-21 00:00:00",""
"1329955200","117.33754416356","115.3144151252","117.33754416356","113.14677686982","3286","2012-02-23 00:00:00",""
"1330214400","115.3144151252","117.33754416356","115.45892434223","113.14677686982","4064","2012-02-26 00:00:00",""
"1330300800","116.47048886141","115.3144151252","116.47048886141","114.01383217197","573","2012-02-27 00:00:00",""
"1330387200","117.91558103166","116.47048886141","117.91558103166","113.86932295495","3642","2012-02-28 00:00:00",""
"1330473600","114.7363782571","117.91558103166","116.03696121033","113.86932295495","2794","2012-02-29 00:00:00",""
"1330560000","116.75950729546","114.7363782571","116.75950729546","111.70168469957","33581","2012-03-01 00:00:00",""
"1330819200","115.74794277628","116.75950729546","115.74794277628","113.5803045209","1949","2012-03-04 00:00:00",""
"1330905600","116.18147042736","115.74794277628","116.18147042736","113.14677686982","6761","2012-03-05 00:00:00",""
"1330992000","116.75950729546","116.18147042736","116.75950729546","113.14677686982","3519","2012-03-06 00:00:00",""
"1331424000","115.74794277628","116.75950729546","115.74794277628","113.86932295495","770","2012-03-11 00:00:00",""
"1331510400","115.74794277628","115.74794277628","115.74794277628","113.14677686982","1930","2012-03-12 00:00:00",""
"1331596800","113.86932295495","115.74794277628","113.86932295495","110.97913861444","152797","2012-03-13 00:00:00",""
"1331683200","117.04852572951","113.86932295495","117.04852572951","113.72481373792","828","2012-03-14 00:00:00",""
"1331769600","115.74794277628","117.04852572951","115.74794277628","113.86932295495","564","2012-03-15 00:00:00",""
"1332028800","115.02539669115","115.74794277628","115.89245199331","113.14677686982","4530","2012-03-18 00:00:00",""
"1332115200","113.14677686982","115.02539669115","115.02539669115","113.14677686982","4922","2012-03-19 00:00:00",""
"1332201600","117.48205338059","113.14677686982","117.48205338059","113.43579530387","416","2012-03-20 00:00:00",""
"1332288000","118.20459946571","117.48205338059","118.20459946571","114.01383217197","582","2012-03-21 00:00:00",""
"1332633600","115.74794277628","118.20459946571","116.18147042736","113.86932295495","880","2012-03-25 00:00:00",""
"1332720000","115.02539669115","115.74794277628","115.02539669115","113.14677686982","8350","2012-03-26 00:00:00",""
"1332806400","115.02539669115","115.02539669115","115.02539669115","112.71324921875","5611","2012-03-27 00:00:00",""
"1332892800","115.02539669115","115.02539669115","115.02539669115","113.14677686982","4252","2012-03-28 00:00:00",""
"1332979200","113.86932295495","115.02539669115","113.86932295495","113.14677686982","4310","2012-03-29 00:00:00",""
"1333238400","118.92714555084","113.86932295495","118.92714555084","113.29128608685","328","2012-04-01 00:00:00",""
"1333324800","115.3144151252","118.92714555084","116.90401651248","114.30285060603","289","2012-04-02 00:00:00",""
"1333411200","116.47048886141","115.3144151252","116.47048886141","113.29128608685","3949","2012-04-03 00:00:00",""
"1333497600","116.61499807843","116.47048886141","116.61499807843","114.59186904008","2384","2012-04-04 00:00:00",""
"1333584000","115.02539669115","116.61499807843","115.3144151252","114.59186904008","10316","2012-04-05 00:00:00",""
"1333843200","116.03696121033","115.02539669115","116.75950729546","115.3144151252","529","2012-04-08 00:00:00",""
"1333929600","117.33754416356","116.03696121033","117.33754416356","116.75950729546","3029","2012-04-09 00:00:00",""
"1334016000","118.20459946571","117.33754416356","118.49361789977","116.90401651248","3405","2012-04-10 00:00:00",""
"1334102400","120.3722377211","118.20459946571","121.81732989135","118.92714555084","3502","2012-04-11 00:00:00",""
"1334188800","125.57456953401","120.3722377211","125.57456953401","120.80576537217","4129","2012-04-12 00:00:00",""
"1334448000","133.23355803637","125.57456953401","133.23355803637","125.57456953401","6854","2012-04-15 00:00:00",""
"1334534400","144.64978618138","133.23355803637","144.64978618138","135.54570550877","415","2012-04-16 00:00:00",""
"1334620800","132.07748430016","144.64978618138","157.36659727962","131.93297508314","15765","2012-04-17 00:00:00",""
"1334707200","136.99079767903","132.07748430016","143.20469401113","126.87515248724","11617","2012-04-18 00:00:00",""
"1334793600","144.36076774733","136.99079767903","144.36076774733","136.99079767903","3226","2012-04-19 00:00:00",""
"1335052800","146.96193365379","144.36076774733","149.2740811262","143.49371244518","10422","2012-04-22 00:00:00",""
"1335225600","159.82325396906","146.96193365379","159.82325396906","148.69604425809","1848","2012-04-24 00:00:00",""
"1335312000","173.98515723756","159.82325396906","173.98515723756","162.56892909254","1310","2012-04-25 00:00:00",""
"1335398400","177.45337844617","173.98515723756","183.37825634421","158.3781617988","15702","2012-04-26 00:00:00",""
"1335657600","172.82908350135","177.45337844617","179.62101670155","168.92733464166","9521","2012-04-29 00:00:00",""
"1335744000","161.99089222444","172.82908350135","175.86377705889","161.55736457336","14923","2012-04-30 00:00:00",""
