"t","c","o","h","l","v","date","s"
"1325376000","42.986460603302","42.890419489087","43.178542831732","42.986460603302","1820","2012-01-01 00:00:00","ok"
"1325462400","43.082501717517","42.986460603302","43.178542831732","42.794378374872","450","2012-01-02 00:00:00",""
"1325548800","43.226563388839","43.082501717517","43.370625060161","42.938440046195","950","2012-01-03 00:00:00",""
"1325635200","43.178542831732","43.226563388839","43.178542831732","43.082501717517","1590","2012-01-04 00:00:00",""
"1325721600","43.274583945947","43.178542831732","43.274583945947","43.226563388839","940","2012-01-05 00:00:00",""
"1325980800","43.322604503054","43.274583945947","43.322604503054","43.130522274624","990","2012-01-08 00:00:00",""
"1326067200","43.466666174376","43.322604503054","43.562707288591","43.322604503054","970","2012-01-09 00:00:00",""
"1326153600","43.658748402806","43.466666174376","43.658748402806","43.466666174376","700","2012-01-10 00:00:00",""
"1326240000","43.850830631236","43.658748402806","43.850830631236","43.514686731484","1000","2012-01-11 00:00:00",""
"1326326400","43.706768959913","43.850830631236","43.898851188343","43.658748402806","1700","2012-01-12 00:00:00",""
"1326672000","43.610727845699","43.706768959913","43.706768959913","43.610727845699","1100","2012-01-16 00:00:00",""
"1326758400","43.514686731484","43.610727845699","43.562707288591","43.466666174376","1310","2012-01-17 00:00:00",""
"1326844800","43.658748402806","43.706768959913","43.658748402806","43.658748402806","530","2012-01-18 00:00:00",""
"1326844800","43.706768959913","43.514686731484","43.706768959913","43.514686731484","1200","2012-01-18 00:00:00",""
"1327190400","43.610727845699","43.658748402806","43.658748402806","43.610727845699","1000","2012-01-22 00:00:00",""
"1327276800","43.514686731484","43.610727845699","43.514686731484","43.370625060161","580","2012-01-23 00:00:00",""
"1327449600","43.418645617269","43.514686731484","43.418645617269","43.370625060161","140","2012-01-25 00:00:00",""
"1327536000","43.514686731484","43.418645617269","43.658748402806","43.418645617269","300","2012-01-26 00:00:00",""
"1327795200","43.802810074128","43.514686731484","43.898851188343","43.658748402806","1610","2012-01-29 00:00:00",""
"1327968000","43.754789517021","43.802810074128","43.94687174545","43.754789517021","1390","2012-01-31 00:00:00",""
"1328054400","43.850830631236","43.754789517021","43.898851188343","43.754789517021","60","2012-02-01 00:00:00",""
"1328140800","43.898851188343","43.850830631236","43.898851188343","43.754789517021","620","2012-02-02 00:00:00",""
"1328400000","43.898851188343","43.898851188343","43.898851188343","43.658748402806","430","2012-02-05 00:00:00",""
"1328486400","43.706768959913","43.898851188343","43.898851188343","43.658748402806","810","2012-02-06 00:00:00",""
"1328572800","43.706768959913","43.706768959913","43.802810074128","43.706768959913","510","2012-02-07 00:00:00",""
"1328659200","43.754789517021","43.706768959913","43.898851188343","43.754789517021","2320","2012-02-08 00:00:00",""
"1328745600","43.754789517021","43.754789517021","43.802810074128","43.658748402806","560","2012-02-09 00:00:00",""
"1329004800","43.706768959913","43.754789517021","43.706768959913","43.706768959913","390","2012-02-12 00:00:00",""
"1329091200","43.754789517021","43.706768959913","44.090933416773","43.658748402806","290","2012-02-13 00:00:00",""
"1329177600","43.610727845699","43.754789517021","43.658748402806","43.610727845699","250","2012-02-14 00:00:00",""
"1329264000","43.754789517021","43.610727845699","43.754789517021","43.322604503054","850","2012-02-15 00:00:00",""
"1329350400","43.658748402806","43.754789517021","43.658748402806","43.610727845699","730","2012-02-16 00:00:00",""
"1329782400","43.850830631236","43.658748402806","43.850830631236","43.610727845699","1940","2012-02-21 00:00:00",""
"1329955200","43.658748402806","43.850830631236","43.94687174545","43.658748402806","800","2012-02-23 00:00:00",""
"1330214400","43.754789517021","43.658748402806","43.754789517021","43.610727845699","100","2012-02-26 00:00:00",""
"1330300800","43.706768959913","43.754789517021","43.706768959913","43.658748402806","1150","2012-02-27 00:00:00",""
"1330387200","43.706768959913","43.706768959913","43.706768959913","43.658748402806","60","2012-02-28 00:00:00",""
"1330473600","43.994892302558","43.706768959913","43.994892302558","43.850830631236","40","2012-02-29 00:00:00",""
"1330560000","43.754789517021","43.994892302558","43.898851188343","43.754789517021","230","2012-03-01 00:00:00",""
"1330905600","43.802810074128","43.754789517021","43.898851188343","43.802810074128","340","2012-03-05 00:00:00",""
"1330992000","44.186974530988","43.802810074128","44.186974530988","43.706768959913","300","2012-03-06 00:00:00",""
"1331424000","43.898851188343","44.186974530988","44.33103620231","43.898851188343","620","2012-03-11 00:00:00",""
"1331510400","43.850830631236","43.898851188343","43.850830631236","43.754789517021","30","2012-03-12 00:00:00",""
"1331596800","44.13895397388","43.850830631236","44.13895397388","43.898851188343","490","2012-03-13 00:00:00",""
"1331683200","44.090933416773","44.13895397388","44.283015645202","43.994892302558","1550","2012-03-14 00:00:00",""
"1331769600","44.13895397388","44.090933416773","44.234995088095","44.090933416773","1260","2012-03-15 00:00:00",""
"1332028800","44.13895397388","44.13895397388","44.186974530988","44.042912859665","370","2012-03-18 00:00:00",""
"1332115200","44.13895397388","44.13895397388","44.283015645202","44.13895397388","60","2012-03-19 00:00:00",""
"1332201600","44.042912859665","44.13895397388","44.090933416773","43.994892302558","280","2012-03-20 00:00:00",""
"1332288000","44.186974530988","44.042912859665","44.186974530988","43.658748402806","1130","2012-03-21 00:00:00",""
"1332633600","43.94687174545","44.186974530988","44.042912859665","43.754789517021","860","2012-03-25 00:00:00",""
"1332720000","44.042912859665","43.94687174545","44.042912859665","43.994892302558","190","2012-03-26 00:00:00",""
"1332806400","44.090933416773","44.042912859665","44.090933416773","44.090933416773","270","2012-03-27 00:00:00",""
