"t","c","o","h","l","v","date","s"
"1325376000","132.72997176518","131.82396513197","132.72997176518","128.5019408102","799","2012-01-01 00:00:00","ok"
"1325462400","135.90099498141","132.72997176518","137.86400935337","133.18297508178","1002","2012-01-02 00:00:00",""
"1325548800","134.69298613713","135.90099498141","138.31701266997","134.69298613713","2653","2012-01-03 00:00:00",""
"1325635200","130.61595628769","134.69298613713","132.12596734304","127.14293086039","490","2012-01-04 00:00:00",""
"1325721600","129.55894854895","130.61595628769","132.12596734304","129.55894854895","121","2012-01-05 00:00:00",""
"1325980800","125.33091759397","129.55894854895","127.59593417699","122.91489990541","4835","2012-01-08 00:00:00",""
"1326067200","127.74693528253","125.33091759397","127.74693528253","125.33091759397","195","2012-01-09 00:00:00",""
"1326153600","127.59593417699","127.74693528253","130.16295297109","127.59593417699","658","2012-01-10 00:00:00",""
"1326240000","131.97496623751","127.59593417699","131.97496623751","127.59593417699","969","2012-01-11 00:00:00",""
"1326326400","136.50499940355","131.97496623751","136.50499940355","129.86095076002","773","2012-01-12 00:00:00",""
"1326672000","132.72997176518","136.50499940355","133.78697950392","130.91795849876","235","2012-01-16 00:00:00",""
"1326758400","130.01195186555","132.72997176518","130.61595628769","123.82090653862","2244","2012-01-17 00:00:00",""
"1326844800","133.18297508178","130.01195186555","133.18297508178","125.33091759397","1617","2012-01-18 00:00:00",""
"1327190400","126.23692422718","133.18297508178","131.37096181537","126.23692422718","1273","2012-01-22 00:00:00",""
"1327276800","126.08592312164","126.23692422718","127.29393196592","124.72691317183","1255","2012-01-23 00:00:00",""
"1327449600","126.84092864932","126.08592312164","126.84092864932","124.5759120663","442","2012-01-25 00:00:00",""
"1327536000","125.33091759397","126.84092864932","125.33091759397","124.72691317183","408","2012-01-26 00:00:00",""
"1327795200","125.33091759397","125.33091759397","125.33091759397","124.27390985523","496","2012-01-29 00:00:00",""
"1327968000","127.14293086039","125.33091759397","127.59593417699","127.14293086039","143","2012-01-31 00:00:00",""
"1328054400","125.63291980504","127.14293086039","126.84092864932","125.63291980504","250","2012-02-01 00:00:00",""
"1328140800","128.35093970467","125.63291980504","128.35093970467","125.78392091057","382","2012-02-02 00:00:00",""
"1328400000","125.17991648844","128.35093970467","126.84092864932","124.42491096076","1035","2012-02-05 00:00:00",""
"1328486400","124.42491096076","125.17991648844","125.17991648844","124.42491096076","545","2012-02-06 00:00:00",""
"1328572800","125.33091759397","124.42491096076","125.78392091057","123.82090653862","816","2012-02-07 00:00:00",""
"1328659200","126.99192975485","125.33091759397","126.99192975485","125.33091759397","187","2012-02-08 00:00:00",""
"1328745600","126.84092864932","126.99192975485","126.84092864932","125.33091759397","437","2012-02-09 00:00:00",""
"1329004800","127.29393196592","126.84092864932","127.29393196592","125.0289153829","1780","2012-02-12 00:00:00",""
"1329091200","132.27696844858","127.29393196592","132.27696844858","125.63291980504","885","2012-02-13 00:00:00",""
"1329177600","129.86095076002","132.27696844858","131.37096181537","129.86095076002","447","2012-02-14 00:00:00",""
"1329264000","127.29393196592","129.86095076002","129.86095076002","127.29393196592","182","2012-02-15 00:00:00",""
"1329350400","128.35093970467","127.29393196592","128.35093970467","125.78392091057","1286","2012-02-16 00:00:00",""
"1329782400","128.35093970467","128.35093970467","128.35093970467","126.23692422718","170","2012-02-21 00:00:00",""
"1329955200","128.35093970467","128.35093970467","128.35093970467","127.59593417699","79","2012-02-23 00:00:00",""
