"t","c","o","h","l","v","date","s"
"1325376000","50.77278986","50.77278986","50.77278986","49.75733406","6400","2012-01-01 00:00:00","ok"
"1325462400","50.77278986","50.77278986","50.77278986","50.77278986","1500","2012-01-02 00:00:00",""
"1325548800","51.78824565","50.77278986","51.78824565","50.77278986","3110","2012-01-03 00:00:00",""
"1325635200","48.74309681","51.78954036","50.77405918","48.74309681","3000","2012-01-04 00:00:00",""
"1325980800","49.75695322","48.7415052","49.75695322","48.7415052","403500","2012-01-08 00:00:00",""
"1326067200","50.77199507","49.75655517","50.77199507","47.72567536","648225","2012-01-09 00:00:00",""
"1326153600","51.78743497","50.77199507","51.78743497","50.77199507","8000","2012-01-10 00:00:00",""
"1326240000","53.81750242","51.78665327","53.81750242","52.80207785","70","2012-01-11 00:00:00",""
"1326326400","52.80035162","53.815743","52.80035162","52.80035162","500","2012-01-12 00:00:00",""
"1326672000","51.78658487","52.80200811","51.78658487","51.78658487","1000","2012-01-16 00:00:00",""
"1326758400","50.77156781","51.78699917","51.78699917","50.77156781","3000","2012-01-17 00:00:00",""
"1327190400","50.77156781","50.77156781","51.78699917","50.77156781","2000","2012-01-22 00:00:00",""
"1327536000","49.75613645","50.77156781","49.75613645","49.75613645","2000","2012-01-26 00:00:00",""
"1327795200","48.74111127","48.74111127","48.74111127","47.74639471","6000","2012-01-29 00:00:00",""
"1328054400","47.7467926","48.74151745","47.7467926","47.7467926","1200","2012-02-01 00:00:00",""
"1328400000","45.75575135","47.74513184","46.75044159","45.75575135","2000","2012-02-05 00:00:00",""
"1328572800","45.75575135","45.75575135","46.75044159","45.75575135","2500","2012-02-07 00:00:00",""
"1328659200","44.76285154","45.75758158","45.75758158","44.76285154","1860","2012-02-08 00:00:00",""
"1328745600","48.74226905","44.76330831","48.74226905","45.75804849","1050","2012-02-09 00:00:00",""
"1329004800","47.74792676","48.74267523","47.74792676","47.74792676","1000","2012-02-12 00:00:00",""
"1329091200","50.73217218","47.74792676","50.73217218","47.74792676","781","2012-02-13 00:00:00",""
"1329350400","49.73782161","50.73257804","49.73782161","49.73782161","190","2012-02-16 00:00:00",""
"1329782400","49.73782161","49.73782161","49.73782161","49.73782161","1000","2012-02-21 00:00:00",""
"1330214400","48.74306517","49.73782161","48.74306517","48.74306517","250","2012-02-26 00:00:00",""
"1330387200","48.74306517","48.74306517","48.74306517","48.74306517","60","2012-02-28 00:00:00",""
"1330905600","49.7374237","48.74267523","49.7374237","49.7374237","100","2012-03-05 00:00:00",""
"1331424000","47.74792675","49.7374237","48.74267523","47.74792675","300","2012-03-11 00:00:00",""
"1331510400","46.75476988","47.74955222","46.75476988","46.75476988","300","2012-03-12 00:00:00",""
"1331596800","46.75476988","46.75476988","46.75476988","46.75476988","400","2012-03-13 00:00:00",""
"1332115200","46.75476988","46.75476988","46.75476988","46.75476988","100","2012-03-19 00:00:00",""
"1332979200","44.76301668","46.75248409","45.75775039","44.76301668","2300","2012-03-29 00:00:00",""
"1333238400","39.78984553","43.67178168","42.70129764","39.78984553","12800","2012-04-01 00:00:00",""
"1333324800","39.78984553","39.78984553","39.78984553","37.84887745","20100","2012-04-02 00:00:00",""
"1333411200","41.73158999","39.7905858","41.73158999","38.82008371","5400","2012-04-03 00:00:00",""
"1333497600","40.75924394","41.72970213","42.70016032","39.78878575","9000","2012-04-04 00:00:00",""
"1333584000","39.78917394","40.75964159","40.75964159","39.78917394","4000","2012-04-05 00:00:00",""
"1333843200","38.81831809","39.78877605","39.78877605","38.81831809","25000","2012-04-08 00:00:00",""
"1333929600","40.759234","38.81831809","40.759234","38.81831809","15000","2012-04-09 00:00:00",""
"1334016000","42.69937354","40.75849292","43.66981384","41.72893323","6200","2012-04-10 00:00:00",""
"1334102400","40.75655204","42.69734023","44.63812842","40.75655204","5600","2012-04-11 00:00:00",""
"1334188800","42.69656392","40.75581101","42.69656392","39.78543456","4400","2012-04-12 00:00:00",""
"1334448000","45.60846958","42.69729067","46.57886255","43.66768364","29800","2012-04-15 00:00:00",""
"1334534400","46.57992998","45.60951477","46.57992998","46.57992998","100","2012-04-16 00:00:00",""
"1334620800","47.54879252","46.578409","48.51917604","47.54879252","11600","2012-04-17 00:00:00",""
"1334707200","51.42877399","47.54735709","51.42877399","46.57700286","10505","2012-04-18 00:00:00",""
"1334793600","51.42877399","51.42877399","54.33983667","49.48806554","24800","2012-04-19 00:00:00",""
"1335052800","55.31164643","51.43012738","56.28202619","52.40050714","63050","2012-04-22 00:00:00",""
"1335225600","59.19452401","55.31291588","59.19452401","56.28331791","1800","2012-04-24 00:00:00",""
"1335312000","62.10689459","59.1956339","62.10689459","60.16605413","34020","2012-04-25 00:00:00",""
"1335398400","67.9325213","62.10973376","67.9325213","62.10973376","84660","2012-04-26 00:00:00",""
"1335657600","74.72577343","67.9325213","74.72577343","68.90298589","23280","2012-04-29 00:00:00",""
"1335744000","80.54691118","74.7242429","82.48780061","75.69468762","64618","2012-04-30 00:00:00",""
"1335916800","72.78218894","80.54562243","88.30905592","72.78218894","55215","2012-05-02 00:00:00",""
"1336003200","74.72547339","72.784552","74.72547339","73.75501269","150","2012-05-03 00:00:00",""
"1336348800","81.51801892","74.72485068","81.51801892","77.63620849","14380","2012-05-07 00:00:00",""
"1336435200","86.36834104","81.51618705","87.33877184","82.48661785","13110","2012-05-08 00:00:00",""
"1336521600","82.49040253","86.37230383","87.34277915","81.51992721","3750","2012-05-09 00:00:00",""
"1336608000","74.72805565","82.49200949","81.52151526","74.72805565","56480","2012-05-10 00:00:00",""
"1336867200","73.75659093","74.72707239","74.72707239","73.75659093","420","2012-05-13 00:00:00",""
